GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
22201154,1610612752,NYK,New York,1629628,RJ Barrett,RJ,F,,29:57,6.0,17.0,0.353,2.0,7.0,0.286,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,2.0,3.0,14.0,10.0
22201154,1610612752,NYK,New York,1630167,Obi Toppin,Obi,F,,18:35,5.0,7.0,0.714,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,12.0,-4.0
22201154,1610612752,NYK,New York,1629011,Mitchell Robinson,Mitchell,C,,22:15,4.0,5.0,0.8,0.0,0.0,0.0,2.0,3.0,0.667,9.0,5.0,14.0,1.0,2.0,2.0,1.0,1.0,10.0,-1.0
22201154,1610612752,NYK,New York,1629656,Quentin Grimes,Quentin,G,,35:59,4.0,9.0,0.444,3.0,8.0,0.375,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,14.0,0.0
22201154,1610612752,NYK,New York,1628973,Jalen Brunson,Jalen,G,,37:36,18.0,32.0,0.563,7.0,12.0,0.583,5.0,8.0,0.625,2.0,2.0,4.0,9.0,0.0,0.0,2.0,1.0,48.0,3.0
22201154,1610612752,NYK,New York,1628404,Josh Hart,Josh,,,29:25,4.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,0.667,1.0,6.0,7.0,1.0,0.0,0.0,0.0,2.0,11.0,18.0
22201154,1610612752,NYK,New York,1630193,Immanuel Quickley,Immanuel,,,30:04,5.0,16.0,0.313,2.0,6.0,0.333,2.0,3.0,0.667,1.0,3.0,4.0,4.0,1.0,0.0,2.0,1.0,14.0,18.0
22201154,1610612752,NYK,New York,1628392,Isaiah Hartenstein,Isaiah,,,25:45,2.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.25,1.0,7.0,8.0,4.0,2.0,3.0,0.0,1.0,5.0,15.0
22201154,1610612752,NYK,New York,1630540,Miles McBride,Miles,,,10:24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0
22201154,1610612752,NYK,New York,203095,Evan Fournier,Evan,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22201154,1610612752,NYK,New York,1631211,Trevor Keels,Trevor,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22201154,1610612752,NYK,New York,1630579,Jericho Sims,Jericho,,DNP - Coach's Decision,,,,,,,,,,,,,,,,,,,,
22201154,1610612739,CLE,Cleveland,1627747,Caris LeVert,Caris,F,,37:00,5.0,12.0,0.417,4.0,7.0,0.571,1.0,1.0,1.0,0.0,4.0,4.0,7.0,1.0,1.0,2.0,1.0,15.0,-12.0
22201154,1610612739,CLE,Cleveland,1630205,Lamar Stevens,Lamar,F,,24:29,1.0,6.0,0.167,0.0,3.0,0.0,0.0,0.0,0.0,1.0,6.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,-8.0
22201154,1610612739,CLE,Cleveland,1630596,Evan Mobley,Evan,C,,41:04,6.0,8.0,0.75,0.0,0.0,0.0,2.0,3.0,0.667,0.0,7.0,7.0,5.0,0.0,3.0,0.0,1.0,14.0,-6.0
